Rank,NCTId,Phase,StudyType,ConditionMeshTerm,PrimaryOutcomeMeasure,StdAge,InterventionType,InterventionName,InterventionOtherName,InterventionMeshTerm,InterventionAncestorTerm,LeadSponsorName,LeadSponsorClass,ResponsiblePartyInvestigatorAffiliation,OverallOfficialAffiliation,CollaboratorName,CollaboratorClass,BriefSummary
530,NCT00002872,Phase 3,Interventional,"Pleural Effusion, Malignant|Pleural Effusion",,Adult|Older Adult,Biological|Drug|Other,bleomycin sulfate|doxycycline|talc,,Doxycycline|Bleomycin,"Anti-Bacterial Agents|Anti-Infective Agents|Antimalarials|Antiprotozoal Agents|Antiparasitic Agents|Antibiotics, Antineoplastic|Antineoplastic Agents",Eastern Cooperative Oncology Group,NETWORK,,H. Lee Moffitt Cancer Center and Research Institute|Mayo Clinic,National Cancer Institute (NCI)|North Central Cancer Treatment Group,NIH|NETWORK,"RATIONALE: Some drugs such as bleomycin or doxycycline, or other compounds like talc, may help to control fluid in the chest caused by cancer. It is not yet known if bleomycin, doxycycline, or talc is more effective in treating patients with malignant pleural effusions.||PURPOSE: Randomized phase III trial to compare the effectiveness of bleomycin, doxycycline, or talc in treating patients with malignant pleural effusions."
531,NCT02930993,Phase 1,Interventional,Neoplasms,safety of infusion of autologous anti-mesothelin CAR T cells as assessed by the incidents of treatment related adverse events per NCI CTCAE V4.0,Adult|Older Adult,Biological,anti-mesothelin CAR T cells,,,,China Meitan General Hospital,OTHER,China Meitan General Hospital,China Meitan General Hospital,"Marino Biotechnology Co., Ltd.",INDUSTRY,"This is a single-arm, open-label, one center, dose escalation clinical study, to determine the safety and efficacy of infusion of autologous T cells engineered to express chimeric antigen receptor targeting mesothelin in adult patients with mesothelin positive, recurrent or metastatic malignant tumors."
532,NCT00571298,Phase 1,Interventional,"Mesothelioma|Mesothelioma, Malignant",To establish the maximally tolerated dose (MTD) of intraoperative Intrathoracic/Intraperitoneal hyperthermic gemcitabine and cisplatin combination modulated by amifostine and sodium thiosulfate in patients with malignant pleural mesothelioma.,Adult|Older Adult,Procedure|Drug|Drug|Drug|Drug|Procedure,Extrapleural pneumonectomy (EPP)|Cisplatin|gemcitabine|amifostine|sodium thiosulfate|Pleurectomy/Decortication,Platinol|Gemzar,Gemcitabine|Sodium thiosulfate|Amifostine,"Antineoplastic Agents|Antimetabolites, Antineoplastic|Antimetabolites|Molecular Mechanisms of Pharmacological Action|Antiviral Agents|Anti-Infective Agents|Enzyme Inhibitors|Immunosuppressive Agents|Immunologic Factors|Physiological Effects of Drugs|Radiation-Protective Agents|Protective Agents|Antidotes|Antioxidants|Antitubercular Agents|Anti-Bacterial Agents|Chelating Agents|Sequestering Agents",Brigham and Women's Hospital,OTHER,Dana-Farber Cancer Institute,Brigham and Women's Hospital,Dana-Farber Cancer Institute,OTHER,"RATIONALE: After removal of visible cancer in the chest, chemotherapy drugs are used to kill or stop tumor cells from dividing, so that they stop growing or/and die. Cisplatin is currently used safely as in intra-operative treatment for malignant pleural mesothelioma. This study is aimed to determine if the addition of gemcitabine as a second intracavitary chemotherapy can be accomplished safely.||PURPOSE: This is a Phase I trial to study the efficacy of combination chemotherapy consisting of gemcitabine and cisplatin administered in the operating room and put into the chest and abdomen for one hour. We are also looking at the effects of heating the chemotherapy to a temperature of 42 degrees Celsius and the effect of cytoprotection agents: amifostine and sodium thiosulfate to counteract potential side effects of chemotherapy."
533,NCT01861301,Phase 2,Interventional,"Mesothelioma|Mesothelioma, Malignant|Lung Neoplasms",Objective Radiologic Response Rate (Complete or Partial Response) Assessed by the Response Evaluation Criteria in Solid Tumors (RECIST) v1.1,Adult|Older Adult,Other|Drug,Laboratory Biomarker Analysis|Tivantinib,ARQ 197|ARQ-197|c-Met Inhibitor ARQ 197,,,National Cancer Institute (NCI),NIH,,University of Chicago Comprehensive Cancer Center,,,This phase II trial studies how well tivantinib works in treating patients with previously treated malignant mesothelioma. Tivantinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.
534,NCT00066404,Phase 1,Interventional,"Mesothelioma|Pleural Effusion, Malignant|Pleural Effusion",,Adult|Older Adult,Biological,recombinant adenovirus-hIFN-beta,,,,Abramson Cancer Center at Penn Medicine,OTHER,,Abramson Cancer Center at Penn Medicine,National Cancer Institute (NCI),NIH,RATIONALE: Using BG00001 to insert the gene for interferon-beta into a person's pleural cavity may improve the body's ability to fight cancer.||PURPOSE: Phase I trial to study the effectiveness of intrapleural BG00001 in treating patients who have malignant pleural mesothelioma or malignant pleural effusions.
535,NCT01627795,Phase 1|Phase 2,Interventional,"Mesothelioma|Mesothelioma, Malignant",Adverse events and serious adverse events occurence,Adult|Older Adult,Drug,Oshadi D and Oshadi R,,,,Oshadi Drug Administration,INDUSTRY,,Hadassah Medical Organization,,,"Malignant mesothelioma is a rare neoplasm that arises most commonly from the mesothelial surfaces of the pleural cavity, occasionally from the peritoneal surface, and rarely from the tunica vaginalis or pericardium. It has an extremely poor prognosis with a median survival of 4 to 13 months for untreated patients 1 and 6 to 18 months for treated patients, regardless of the therapeutic approach.||The anticancer activity of Oshadi D and Oshadi R treatment was tested in preclinical studies and in phase I clinical study. Four metastatic mesothelioma patients are treated for 5 to 12 months. The Oshadi D and Oshadi R combination treatment was generally well-tolerated with no dose-limiting toxicities observed."
536,NCT05664139,Phase 2,Interventional,Adenoviridae Infections|Melanoma|Neoplasm Metastasis|Liver Neoplasms,Objective tumor response rate (ORR),Adult|Older Adult,Drug,"Recombinant Human Adenovirus Type 5 Injection,Camrelizumab,Nab-paclitaxel",,Paclitaxel,"Antineoplastic Agents, Phytogenic|Antineoplastic Agents|Tubulin Modulators|Antimitotic Agents|Mitosis Modulators|Molecular Mechanisms of Pharmacological Action",Fujian Cancer Hospital,OTHER_GOV,,Fujian Cancer Hospital,"Jiangsu Hengrui Pharmaceutical Co., Ltd.|SunWay Biotech Co., LTD.",INDUSTRY|INDUSTRY,"This study is the first to explore the efficacy and safety of recombinant human adenovirus type 5 injection combined with PD-1 monoclonal antibody and nab-paclitaxel in the treatment of patients with liver metastases of melanoma, in order to provide a new method for the clinical treatment of melanoma. The model also provides reference and basis for other tumor treatments."
537,NCT03125746,Phase 1,Interventional,,Number of participants with adverse events,Adult|Older Adult,Drug|Drug,LXI-15029|LXI-15029+Exemestane,,Exemestane,"Antineoplastic Agents|Aromatase Inhibitors|Steroid Synthesis Inhibitors|Enzyme Inhibitors|Molecular Mechanisms of Pharmacological Action|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Physiological Effects of Drugs","Shandong Luoxin Pharmaceutical Group Stock Co., Ltd.",INDUSTRY,,,,,"1. To evaluate the safety and tolerability of LXI-15029 in Chinese patients with advanced malignant solid tumors in monotherapy period, including confirmation of the maximum tolerated dose (MTD) of monotherapy. 2.To evaluate the safety and tolerability of LXI-15029 in Chinese postmenopausal patients with metastatic or locally advanced breast cancer with estrogen receptor (+) and human epidermal growth factor receptor 2 (-) in combined with Exemestane period , including confirmation of the maximum tolerated dose(MTD) of the combined therapy with Exemestane."
538,NCT03529604,,Observational,"Carcinoma|Carcinoma, Squamous Cell|Mouth Neoplasms|Squamous Cell Carcinoma of Head and Neck",Salivary tumor marker levels before surgery,Child|Adult|Older Adult,Other|Diagnostic Test|Diagnostic Test,Saliva sampling|ELISA|HPLC,,,,University of Zagreb,OTHER,University of Zagreb,University of Zagreb,Croatian Science Foundation,OTHER_GOV,"According to the World Health Organization, oral cancer (OC) is the eighth most common cancer in the world with a five year survival rate of 50%.||Oral cancer tumor cells produce biochemical substances, tumor markers, differed from healthy individuals in expression or quantitative ratio, detectable in tissues and/or body fluids.||Saliva, because of its accessibility, proximity and noninvasive approach, presents an ideal tool for the research of oral cancer tumor markers.||The aim of this study will be to isolate, quantify, analyze the role and describe the kinetics of diadenosine tetraphosphate (Ap4A), Squamous Cell Carcinoma associated Antigen (SCCA), Trophoblast cell surface antigen (TROP2) in patients with OC, potentially malignant disorders (PMOD) and age and sex matched control group with a clear medical history.||There are number of studies published on OC tumor markers isolated mostly in serum, however the satisfactory specificity and sensitivity still hasn't been reached.||Liquid chromatography-ion trap-mass spectrometry, Multiple Reaction Monitoring method (LC-IT-MS, MRM) will be developed to isolate and quantify the above mentioned tumor markers. This method has not yet been used to quantify the above mentioned salivary tumor markers. Ap4A and TROP2 have never been isolated from saliva.||The aim is to develop a tumor-specific test with a satisfactory statistical sensitivity and specificity and dynamically measure the levels of tumor markers, before and immediately after therapy - surgery/radiotherapy/chemotherapy or their combination, and during regular follow-up one and two years after surgery. As another novelty, the investigators aim to determine the markers circadian rhythm.||A OC tumor specific test, with satisfactory sensitivity and specificity, would enable earlier OC diagnosis, possibly before the clinical appearance, raise the survival rate of OC patients, enable early diagnosis of recurrence and/or new primary tumors and ensure better post-treatment life-quality."
539,NCT03987087,Phase 2,Interventional,"Lung Neoplasms|Pleural Effusion, Malignant|Carcinoma, Non-Small-Cell Lung|Pleural Effusion",Progression-free survival(PFS),Adult|Older Adult,Radiation|Drug,Radiation|Chemotherapy,,,,Guizhou Medical University,OTHER,,,,,This randomized phase II study compare survival outcomes and toxicity of malignant pleural effusion stage IV non small-cell lung cancer patients Intrapleural infusion chemotherapy in combination with concurrent thoracic radiation therapy (TRT) VS not combination with concurrent thoracic radiation therapy (TRT).
540,NCT01243632,Phase 2,Interventional,"Mesothelioma|Mesothelioma, Malignant",Response rate,Adult|Older Adult,Drug,Prolonged 6-hr infusion of gemcitabine,,Gemcitabine,"Antimetabolites, Antineoplastic|Antimetabolites|Molecular Mechanisms of Pharmacological Action|Antineoplastic Agents|Antiviral Agents|Anti-Infective Agents|Enzyme Inhibitors|Immunosuppressive Agents|Immunologic Factors|Physiological Effects of Drugs",Institute of Oncology Ljubljana,OTHER,,Institute of Oncology Ljubljana,"Ministry of Higher Education, Science and Technology, Solvenia",OTHER_GOV,"Combination of gemcitabine-cisplatin was one of the most effective chemotherapy treatment in mesothelioma patients. However, median survival of this patient group was only about 12 months. With intent to find more effective treatment the investigators performed phase II study with gemcitabine in low dose (130-250 mg/m2) in 6-hours (prolonged) infusion in combination with cisplatin in advanced non-small cell lung cancer (Zwitter et al. Anticancer Drugs 2005;16:1129-34). After favourable experience, the investigators decided to explore such regiment in patients with malignant pleural mesothelioma (MPM) as well."
541,NCT01165281,Phase 3,Interventional,Neoplasms|Cancer Pain,Change From Baseline to the Last 3 Days of Study Drug Administration (Last Observation Carried Forward) in the Score for Average Pain Intensity on an 11-point Numerical Rating Scale,Adult|Older Adult,Drug|Drug,Oxycodone CR|R331333 (referred to as JNS024 ER or CG5503),,Oxycodone,"Analgesics, Opioid|Narcotics|Central Nervous System Depressants|Physiological Effects of Drugs|Analgesics|Sensory System Agents|Peripheral Nervous System Agents","Janssen Research & Development, LLC",INDUSTRY,,"Janssen Research & Development, LLC",,,"The purpose of this study is to evaluate the safety and efficacy of R331333 (referred to as JNS024 Extended-Release (ER) or CG5503) compared with an active comparator (oxycodone Controlled Release (CR)) in Japanese and Korean patients with chronic, malignant, tumor-related cancer pain."
542,NCT01176513,Phase 2,Interventional,Prostatic Neoplasms,"To Assess the Magnitude of Uptake and Retention of GE-148 (18F) Injection in Malignant Prostate Tumors, Non-malignant Prostate Pathology, and Regions of Normal Prostate Tissue in Subjects With Prostate Cancer, Using PET/CT Imaging.",Adult|Older Adult,Drug,GE-148 (18F),GE-148 (18F) Injection,,,GE Healthcare,INDUSTRY,,GE Healthcare,National Cancer Institute (NCI),NIH,"Background:||- GE-148 (18F) is a new drug that is designed to attach to prostate cancer cells. Researchers are interested in combining the drug with a small amount of radioactive material to allow prostate cancer lesions to appear more clearly on imaging scans. Researchers are also interested in determining whether the combination can help make cancer cells in pelvic lymph nodes easier to detect through imaging studies. GE-148 (18F) will be used to examine individuals who are scheduled to have surgery on their prostate cancer.||Objectives:||- To evaluate the effectiveness of GE-148 (18F) in detecting prostate cancer and cancer cells in pelvic lymph nodes using positron emission tomography and magnetic resonance imaging scanning.||Eligibility:||- Men at least 18 years of age who have been diagnosed with prostate cancer and are scheduled to have prostate removal surgery.||Design:||Participants will be screened with a physical examination, medical history, blood tests, and imaging studies.|Participants will have magnetic resonance imaging (MRI) and positron emission tomography (PET) scans with GE-148 (18F) prior to their scheduled surgery. The MRI and PET scans may be performed on the same day or on different days, depending on the schedule set by the study researchers.|Tissue samples taken during prostate removal surgery, including prostate tissue and pelvic lymph nodes, will be collected for further study of the effectiveness of GE-148 (18F)."
543,NCT04131231,Not Applicable,Interventional,"Pleural Effusion, Malignant|Pleural Effusion",Objective Response Rate（ORR）,Adult|Older Adult,Drug|Drug,microparticles packaging methotrexate (MPs-MTX)|recombinant human interleukin-2(rhIL-2),,Aldesleukin|Methotrexate|Interleukin-2,"Abortifacient Agents, Nonsteroidal|Abortifacient Agents|Reproductive Control Agents|Physiological Effects of Drugs|Antimetabolites, Antineoplastic|Antimetabolites|Molecular Mechanisms of Pharmacological Action|Antineoplastic Agents|Dermatologic Agents|Enzyme Inhibitors|Folic Acid Antagonists|Immunosuppressive Agents|Immunologic Factors|Antirheumatic Agents|Nucleic Acid Synthesis Inhibitors|Analgesics, Non-Narcotic|Analgesics|Sensory System Agents|Peripheral Nervous System Agents|Anti-HIV Agents|Anti-Retroviral Agents|Antiviral Agents|Anti-Infective Agents",Peking Union Medical College,OTHER,Peking Union Medical College,Cancer Hospital Chinese Academy of Medical Science,,,"This is a prospective, open-label , multicenter randomized controlled trial, with 248 cases in 50 centers planned for a period of 2 years. The aim of the study is to evaluate the safety and effectiveness of microparticles packaging chemotherapeutic drugs (MPCD) therapy on the treatment of malignant pleural effusion (MPE) in patients with advanced lung cancer or breast cancer."
544,NCT03152318,Phase 1,Interventional,Glioblastoma|Glioma|Brain Neoplasms|Astrocytoma|Ependymoma|Oligodendroglioma|Ganglioglioma,Maximum Tolerated Dose,Adult|Older Adult,Drug|Drug|Procedure,rQNestin|Cyclophosphamide|Stereotactic biopsy,rQNestin34.5v.2|CAN-3110|Cytoxan®|Neosar®,Cyclophosphamide,"Immunosuppressive Agents|Immunologic Factors|Physiological Effects of Drugs|Antirheumatic Agents|Antineoplastic Agents, Alkylating|Alkylating Agents|Molecular Mechanisms of Pharmacological Action|Antineoplastic Agents|Myeloablative Agonists",Dana-Farber Cancer Institute,OTHER,Dana-Farber Cancer Institute,Brigham and Women's Hospital,"National Institutes of Health (NIH)|Candel Therapeutics, Inc.",NIH|INDUSTRY,"This research study is evaluating an investigational drug, an oncolytic virus called rQNestin34.5v.2. This research study is a Phase I clinical trial, which tests the safety of an investigational drug and also tries to define the appropriate dose of the investigational drug as a possible treatment for this diagnosis of recurrent or progressive brain tumor."
545,NCT00101166,Phase 2,Interventional,Melanoma,Number of Participants With Partial Response,Adult|Older Adult,Biological,Bystander-Based Autologous Tumor Cell Vaccine,GM.CD40L|bystander cells|Melanoma Vaccine|Immunotherapy,Vaccines,Immunologic Factors|Physiological Effects of Drugs,H. Lee Moffitt Cancer Center and Research Institute,OTHER,,H. Lee Moffitt Cancer Center and Research Institute,National Cancer Institute (NCI)|American Society of Clinical Oncology|Society of Surgical Oncology (SSO),NIH|OTHER|UNKNOWN,"The purpose of this study is to find out what effects (good and/or bad) this new cancer vaccine has on the patient and their cancer, whether it is safe and whether it can help get rid of their cancer (malignant melanoma). We want to check how the patient's immune system reacts, both before and after the vaccine treatment."
546,NCT02375334,,Observational,Glioma,"Development of a new adherence monitoring system within Epic that is functionally equivalent to the previously designed and validated system in the Cancer Center ORIS|Frequency and timing of flags (laboratory date flags, visit date flags and in-patient status flags) generated with the new system|Non-adherent days generated with the new system",Child|Adult|Older Adult,Other,Medical Chart Review,Chart Review,,,Wake Forest University Health Sciences,OTHER,,Wake Forest University Health Sciences,National Cancer Institute (NCI),NIH,This research trial studies an adherence monitoring system in managing myelosuppression in patients with newly diagnosed malignant gliomas who are receiving temozolomide and radiation therapy. The development of an adherence monitoring system may help doctors more effectively utilize electronic medical records to manage myelosuppression during standard treatment with temozolomide and radiation therapy in patients with malignant gliomas.
547,NCT02477657,,Observational,Ascites,Number of Adverse Events,Adult|Older Adult,Procedure|Device|Device,Paracentesis|Tunneled Intraperitoneal Drain (IPD)|Peritoneal-Venous shunts (PVS),,,,Abramson Cancer Center at Penn Medicine,OTHER,,Abramson Cancer Center at Penn Medicine,,,"Malignant ascites leads to significant morbidity in patients with terminal cancer. Paracentesis can provide relief, but repeat hospital visits, pain, and short duration of relief after paracentesis are detrimental to quality of life(QOL). Two devices are available as alternatives to paracentesis. The impact of either device on QOL has not fully been explored. A pilot nonrandomized trial measuring palliative care QOL and ascites symptom relief using validated survey instruments is proposed."
548,NCT02281812,Not Applicable,Interventional,Breast Neoplasms,Intraoperative free margins (distance between the tumor and the margin in order to indicate if extensions are mandatory.),Adult|Older Adult,Procedure,Radiofrequency ablation,,,,Hospital Universitari de Bellvitge,OTHER,Hospital Universitari de Bellvitge,Hospital Universitario Bellvitge-Idibell_Universidad de Barcelona,,,"Background/Main objective: Radiofrequency ablation (RFA) is a minimally invasive procedure widespread accepted in the treatment of different tumors, especially in the liver but its benefit is not yet well-known in breast cancer.||Our main objective is to evaluate the usefulness of RFA in < 2cm malignant breast tumors to reduce the proportion of positive margins.||Methodology: The investigator propose a single-center, single-blind, phase I and II randomized controlled trial. Phase I:Security of the cool-tip cluster electrode assessing the potential adverse effects in three stages: initial,intermediate and final. Phase II: Randomized clinical trial, 2 parallel groups with 37 patients in each one.||Experimental group: percutaneous RFA previous to conventional lumpectomy. Control group: conventional surgery with lumpectomy. The number of positive margins in both groups, and the need of extending margin resection will be assessed intraoperatively. Inclusion criteria: women >40 years, infiltrating ductal breast carcinoma by biopsy. The tumor must be unique, visible by ultrasound, smaller than 2cm and located > 1 cm from the chest wall and the skin. Patients will be followed up for a period of two years to assess cosmetic result, short -term and long -term complications and recurrences.||Expected results: The ""cool-tip"" (cluster) ablation method reduces by at least 30% the risk of intraoperative extensions for positive margins during lumpectomy compared to conventional surgery in breast tumors with a diameter < 2 cm.||Therefore this procedure may reduce the risk of second surgeries and the removed volume of tissue.Consequently the final cosmetic result should be improved."
549,NCT01747876,Phase 1,Interventional,Neuroblastoma|Rhabdoid Tumor,"Incidence Rate of Dose Limiting Toxicities (DLTs) by Primary System Organ Class, Preferred Term and Treatment",Child|Adult,Drug,LEE011,,,,Novartis Pharmaceuticals,INDUSTRY,,Novartis Pharmaceuticals,,,"LEE011 is a small molecule inhibitor of CDK4/6. LEE011 has demonstrated in vitro and in vivo activity in both tumor models. The primary purpose of this study was to determine the maximum tolerated dose (MTD) and/or recommended dose for expansion (RDE) in pediatric patients and to delineate a clinical dose to be used in future studies. This study was also to have assessed the safety, tolerability, PK and preliminary evidence of antitumor activity of LEE011 in patients with MRT or neuroblastoma."
550,NCT03619681,Phase 1,Interventional,Breast Neoplasms|Stomach Neoplasms,The proportion of patients experiencing dose limiting toxicities.,Adult|Older Adult,Drug,KN026,,,,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",INDUSTRY,,,,,"This is a first-in-human (FIH), open-label, phase 1 dose-escalation study of KN026 in subjects with HER2 positive advanced breast and Gastric Cancer. The standard ""3 + 3"" design was used for dose escalation. There are 5 proposed dose levels which are 5, 10, 15, 20 and 30 mg/kg, but dosing interval may be adjusted during the study (such as QW, OR Q2W, OR Q3W) based on emerging data from this trial and/or from phase 1 trial of KN026 in other country. Dose escalation will continue until the maximum tolerated dose (MTD) is reached or if MTD is not found, dose escalation will continue until the MAD of 20 mg / kg is reached. Dose expansion will carried out in 20 mg/kg Q2W and 30 mg/kg Q3W."
551,NCT05547282,Not Applicable,Interventional,,ORR,Adult|Older Adult,Radiation,"At the same time, the original regimen of immunomaintenance therapy was continued, according to the frequency of the original immunization regimen once every 3 weeks until progress.",,,,Jiandong Zhang,OTHER,Qianfoshan Hospital,Deputy chief physician,,,"Response was evaluated according to the Guidelines for Response Criteria for Use in Trials Testing Immunotherapeutics (iRECIST) : ORR-To evaluate the objective effective rate of LDRT combined with SFRT and immunotherapy in patients with malignant tumors after immunotherapy resistance without standard regimens. PFS-To evaluate the progression-free survival (PFS) of patients with advanced malignant tumors after LDRT combined with SFRT and immunotherapy without standard regimens after immunotherapy resistance.DCR-To evaluate the proportion of patients with optimal response to LDRT and SFRT combined with immunotherapy to achieve complete response, partial response, or disease control after no standard regimen was available for immunotherapy resistance.HRQoL, AE and sAE-Evaluation of health related quality of life and safety of post-LDRT combined with SFRT and immunotherapy in patients with malignant tumors. To evaluate the benefit of patients in this trial."
552,NCT01626638,Not Applicable,Interventional,Head and Neck Neoplasms|Precancerous Conditions,Diagnostic correlation between confocal micro endoscopy and conventional histology,Adult|Older Adult,Procedure,Confocal Micro Endoscopy,,,,"Gustave Roussy, Cancer Campus, Grand Paris",OTHER,,"Gustave Roussy, Cancer Campus, Grand Paris","Ministry of Health, France",OTHER_GOV,The primary objective is to validate the diagnostic correlation between the intraoperative microendoscopic images and the conventional histological analysis on biopsy and/or surgical specimens on patients with epidermoid carcinoma.
553,NCT01678690,Early Phase 1,Interventional,Neoplasms,gemcitabine (dFdC) and difluorodeoxyuridine (dFdU) plasma concentration and gemcitabine triphosphate (dFdCTP) concentration in PBMC,Adult|Older Adult,Drug,Gemcitabine HCl Oral Formulation,D07001-F4,Gemcitabine,"Antimetabolites, Antineoplastic|Antimetabolites|Molecular Mechanisms of Pharmacological Action|Antineoplastic Agents|Antiviral Agents|Anti-Infective Agents|Enzyme Inhibitors|Immunosuppressive Agents|Immunologic Factors|Physiological Effects of Drugs",InnoPharmax Inc.,INDUSTRY,,Gabrail Cancer Center Research|Augusta University|National Taiwan University Hospital,,,"Open-label, Phase 0, dose-escalation study of 3 successive cohorts (3 subjects per cohort), to determine and characterize the plasma PK of gemcitabine HCl oral formulation (D07001-F4) administered once on Day 1 with 7 Days of study follow-up. In addition, oral tolerability and safety will also be assessed during this 1-week period."
554,NCT04289831,Not Applicable,Interventional,,Early postoperative mortality (within 3 months)|Early postoperative morbidities (within 3 months),Adult|Older Adult,Procedure|Procedure,Preoperative Biliary Drainage (PBD)|Surgery,,,,University of Alexandria,OTHER,University of Alexandria,Ass. Professor of Surgery (Surgical Oncology Unit)|Lecturer of Internal Medicine (Gastroenterology Unit),,,The impact of preoperative biliary drainage (PBD) on morbidity and mortality associated with Pancreaticoduodenectomy (PD) in patients with peri-ampulary tumors is still controversial. The objective of this study is to evaluate the impact of PBD on surgical and oncologic outcomes after PD in jaundiced patients with operable peri-ampulary tumors.
555,NCT00351039,Phase 1|Phase 2,Interventional,"Lung Neoplasms|Carcinoma, Non-Small-Cell Lung",Progression Free Survival (PFS),Older Adult,Drug|Drug|Drug,Bevacizumab|Erlotinib|Pemetrexed,Avastin|Tarceva|Alimta,Bevacizumab|Pemetrexed|Erlotinib Hydrochloride,"Antineoplastic Agents, Immunological|Antineoplastic Agents|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Growth Substances|Physiological Effects of Drugs|Growth Inhibitors|Enzyme Inhibitors|Molecular Mechanisms of Pharmacological Action|Folic Acid Antagonists|Nucleic Acid Synthesis Inhibitors|Protein Kinase Inhibitors",H. Lee Moffitt Cancer Center and Research Institute,OTHER,,H. Lee Moffitt Cancer Center and Research Institute,"Genentech, Inc.|Eli Lilly and Company",INDUSTRY|INDUSTRY,"This is a Phase I/II trial of elderly patients (> 70 years of age). Patients in this age group with previously un-treated Advanced Stage Non-Squamous Non-Small Cell Lung Cancer (NSCLC) with Stage IIIB (with malignant pleural effusion) and stage IV disease will be enrolled. Therapy consists of three drugs (Premetrexed[Alimta™], Bevacizumab and Erlotinib[Tarceva™]) which are given every 28 days."
556,NCT05593107,Not Applicable,Interventional,Neoplasms,The diagnostic efficacy of 68Ga-N188 PET/CT in the evaluation of malignant tumors|The diagnostic efficacy of 68Ga-N188 PET/CT in the evaluation of malignant tumors,Adult|Older Adult,Drug,[68Ga]N188,68Ga-N188|Nectin-4 specific PET imaging,,,Peking University First Hospital,OTHER,Peking University First Hospital,,,,"The Nectin-4 protein belongs to the cell adhesion factors family and has a tissue-specific expression spectrum in normal human tissues. However, Nectin-4 is overexpressed in various malignancies, especially those of epithelial origins, such as uroepithelial carcinoma, making Nectin-4 a highly specific and significant imaging target for malignancies.||[68Ga]N188, a novel molecular probe of PET imaging agent that targets Nectin-4, can be used in the diagnosis and research of a wide variety of Nectin-4 high-expression malignancies, including bladder cancer."
557,NCT05213767,Phase 1,Interventional,Neoplasms,Maximum tolerated dose (MTD)|Dose limited toxicity (DLT)|Recommended Phase II Dose (RP2D),Adult|Older Adult,Drug,TQB2916 injection,,,,"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",INDUSTRY,,,,,"This project is an open, dose escalation and expansion phase I clinical study. The first phase is a dose escalation study, and the second phase is a dose expansion study based on the Maximum tolerated dose (MTD) / Recommended Phase II Dose (RP2D) obtained in the first phase. The purpose is to evaluate the safety, tolerability, and pharmacokinetic characteristics of TQB2916 injection in patients with advanced tumors, and to initially evaluate the antitumor efficacy of TQB2916 injection."
558,NCT05463796,,Observational,"Carcinoma|Neoplasms|Adenoma|Hematologic Neoplasms|Barrett Esophagus|Carcinoma in Situ|Giant Cell Tumors|Carcinoma, Lobular|Osteochondroma|Liver Diseases|Fatty Liver|Non-alcoholic Fatty Liver Disease|Hyperplasia","Identify exposures as well as clinical, molecular, and pathological changes that can be used to predict early development of cancer, malignant transformation, and risks of progression to symptomatic cancer that can ultimately be fatal.",Child|Adult|Older Adult,Other,Samples,,,,Dana-Farber Cancer Institute,OTHER,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,,,"This research study is creating a way to collect and store specimens and information from participants who may be at an increased risk of developing cancer, or has been diagnosed with an early phase of a cancer or a family member who has a family member with a precursor condition for cancer.||The objective of this study is to identify exposures as well as clinical, molecular, and pathological changes that can be used to predict early development of cancer, malignant transformation, and risks of progression to symptomatic cancer that can ultimately be fatal.|The ultimate goal is to identify novel markers of early detection and risk stratification to drive potential therapeutic approaches to intercept progression to cancer."
559,NCT02536469,Phase 1,Interventional,Neoplasms,"Proportion of patients who experience DLTs (Dose Limiting Toxicity) 28 days following the first dose of HuMax-IL8, as well as all DLTs occurring during the study thereafter.",Adult|Older Adult,Drug,HuMax-IL8,BMS-968253,,,Bristol-Myers Squibb,INDUSTRY,,Bristol-Myers Squibb,This trial was conducted previously by Cormorant,UNKNOWN,"A phase Ib, dose escalation, multiple dose trial with HuMax-IL8 in patients with metastatic or unresectable, locally advanced malignant solid tumors."
560,NCT01904123,Phase 1,Interventional,Neoplasms|Melanoma|Glioblastoma|Glioma|Brain Neoplasms|Recurrence,"Maximum tolerated dose (MTD) of JAK2 inhibitor WP1066, defined as the dose level at which 0/6 or 1/6 patients experience a dose limiting toxicity (DLT) with at least 2 patients experiencing DLT at the next higher dose level|Incidence of adverse events assessed using NCI CTC",Adult|Older Adult,Other|Other|Drug,Laboratory Biomarker Analysis|Pharmacological Study|STAT3 Inhibitor WP1066,WP1066,Tyrphostins,Antineoplastic Agents|Enzyme Inhibitors|Molecular Mechanisms of Pharmacological Action,M.D. Anderson Cancer Center,OTHER,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),NIH,"This phase I trial studies the side effects and best dose of STAT3 inhibitor WP1066 in treating patients with malignant glioma that has come back or melanoma that has spread to the brain and is growing, spreading, or getting worse. STAT3 inhibitor WP1066 may stop the growth of tumor cells and modulate the immune system."
